#Total No. of Collocate Types: 50
#Total No. of Collocate Tokens: 232
1	2	0	2	9.13321	определять
2	2	1	1	7.13321	умный
3	2	0	2	6.54825	сложный
4	2	2	0	6.13321	правильно
5	3	0	3	6.13321	больше
6	6	1	5	5.93682	понимать
7	2	0	2	5.60965	никакой
8	2	0	2	5.48936	новый
9	2	0	2	5.48936	м
10	2	0	2	5.37832	вопрос
11	3	1	2	4.99025	надо
12	3	0	3	4.93682	самый
13	2	0	2	4.92376	наверное
14	4	2	2	4.57862	очень
15	2	0	2	4.51850	о
16	2	0	2	4.48936	щас
17	2	0	2	4.48936	просто
18	3	0	3	4.37832	если
19	3	0	3	4.37832	аа
20	3	0	3	4.36062	себя
21	31	15	16	4.33922	я
22	19	1	18	4.31774	что
23	5	0	5	4.25547	знать
24	6	6	0	4.07432	так
25	5	0	5	3.93158	говорить
26	3	0	3	3.92376	но
27	12	0	12	3.81128	это
28	7	0	7	3.80614	вы
29	2	0	2	3.62542	тот
30	2	1	1	3.59405	же
31	13	7	6	3.54133	не
32	4	4	0	3.50386	ты
33	2	0	2	3.44671	мочь
34	3	0	3	3.40529	какой
35	2	0	2	3.31303	эээ
36	7	2	5	3.08259	ну
37	3	0	3	3.07432	она
38	4	0	4	2.95330	он
39	8	0	8	2.85476	а
40	4	1	3	2.74519	как
41	2	0	2	2.74089	по
42	8	0	8	2.65343	в
43	6	0	6	2.56589	то
44	2	1	1	2.49659	они
45	2	1	1	2.41211	все
46	3	0	3	2.17128	мы
47	6	1	5	1.92051	и
48	3	0	3	1.88212	да
49	3	0	3	1.34096	быть
50	3	1	2	1.31516	вот
